anp_nombre,anp_categoria,download_path
BOSQUES SECOS SALITRAL HUARMACA,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosques_secos_salitral_huarmaca.gpkg
BOSQUES TROPICALES ESTACIONALMENTE SECOS DEL MARANON,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_bosques_tropicales_estacionalmente_secos_del_maranon.gpkg
CHOQUEQUIRAO,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_choquequirao.gpkg
CHUYAPI URUSAYHUA,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_chuyapi_urusayhua.gpkg
CODO DEL POZUZO,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_codo_del_pozuzo.gpkg
COMUNAL ALTO TAMAYA ABUJAO,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_comunal_alto_tamaya_abujao.gpkg
COMUNAL TAMSHIYACU TAHUAYO,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_comunal_tamshiyacu_tahuayo.gpkg
CORDILLERA ESCALERA,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_cordillera_escalera.gpkg
HUAYTAPALLANA,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_huaytapallana.gpkg
HUMEDALES DE VENTANILLA,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_humedales_de_ventanilla.gpkg
IMIRIA,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_imiria.gpkg
LAGUNA DE HUACACHINA,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_laguna_de_huacachina.gpkg
MAIJUNA KICHWA,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_maijuna_kichwa.gpkg
PARAMOS Y BOSQUES MONTANOS DE JAEN Y TABACONAS,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_paramos_y_bosques_montanos_de_jaen_y_tabaconas.gpkg
Q'EROS KOSNIPATA,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_qeros_kosnipata.gpkg
SISTEMA DE LOMAS DE LIMA,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_sistema_de_lomas_de_lima.gpkg
TRES CANONES,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_tres_canones.gpkg
VILACOTA MAURE,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_vilacota_maure.gpkg
VISTA ALEGRE OMIA,Área de Conservación Regional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acr_vista_alegre_omia.gpkg
ALEDANO A LA BOCATOMA DEL CANAL NUEVO IMPERIAL,Bosque de Protección,https://github.com/PaulESantos/perugeopkg/raw/master/anp/bp_aledaño_a_la_bocatoma_del_canal_nuevo_imperial.gpkg
ALTO MAYO,Bosque de Protección,https://github.com/PaulESantos/perugeopkg/raw/master/anp/bp_alto_mayo.gpkg
PAGAIBAMBA,Bosque de Protección,https://github.com/PaulESantos/perugeopkg/raw/master/anp/bp_pagaibamba.gpkg
PUI PUI,Bosque de Protección,https://github.com/PaulESantos/perugeopkg/raw/master/anp/bp_pui_pui.gpkg
PUQUIO SANTA ROSA,Bosque de Protección,https://github.com/PaulESantos/perugeopkg/raw/master/anp/bp_puquio_santa_rosa.gpkg
SAN MATIAS SAN CARLOS,Bosque de Protección,https://github.com/PaulESantos/perugeopkg/raw/master/anp/bp_san_matias_san_carlos.gpkg
EL ANGOLO,Coto de Caza,https://github.com/PaulESantos/perugeopkg/raw/master/anp/cc_el_angolo.gpkg
SUNCHUBAMBA,Coto de Caza,https://github.com/PaulESantos/perugeopkg/raw/master/anp/cc_sunchubamba.gpkg
ALTO PURUS,Parque Nacional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/pn_alto_purús.gpkg
BAHUAJA SONENE,Parque Nacional,https://github.com/PaulESantos/perugeopkg/raw/master/anp/pn_bahuaja_sonene.gpkg
